site,crop,trt,samp_date,plot,depth_cm,sampid,freshwt_g,subsampwt_g,entered_by
Marsden,alfalfa,4yr,9/4/2019,17,0-15,ma4y_01,769.2,203.8,GN
Marsden,alfalfa,4yr,9/4/2019,17,15-30,ma4y_02,794.5,202.6,GN
Marsden,alfalfa,4yr,9/4/2019,17,30-60,ma4y_03,1613.7,203.3,GN
Marsden,alfalfa,4yr,9/4/2019,17,60-90,ma4y_04,1628.2,203.2,GN
Marsden,alfalfa,4yr,9/4/2019,17,90-120,ma4y_05,1950.1,202.3,GN
Marsden,alfalfa,4yr,9/4/2019,17,120-150,ma4y_06,1906.9,202.1,GN
Marsden,alfalfa,4yr,9/4/2019,17,150-180,ma4y_07,2021.7,203,GN
Marsden,alfalfa,4yr,9/4/2019,17,180-210,ma4y_08,2209,202.6,GN
Marsden,alfalfa,4yr,9/4/2019,17,210-240,ma4y_09,NA,NA,GN
Marsden,alfalfa,4yr,9/4/2019,22,0-15,ma4y_10,785.3,202.8,GN
Marsden,alfalfa,4yr,9/4/2019,22,15-30,ma4y_11,828,201.8,GN
Marsden,alfalfa,4yr,9/4/2019,22,30-60,ma4y_12,1602.5,201,GN
Marsden,alfalfa,4yr,9/4/2019,22,60-90,ma4y_13,1760.4,203.5,GN
Marsden,alfalfa,4yr,9/4/2019,22,90-120,ma4y_14,2197.8,202.2,GN
Marsden,alfalfa,4yr,9/4/2019,22,120-150,ma4y_15,2030.8,202.9,GN
Marsden,alfalfa,4yr,9/4/2019,22,150-180,ma4y_16,2125.8,203.5,GN
Marsden,alfalfa,4yr,9/4/2019,22,180-210,ma4y_17,2496,201.77,GN
Marsden,alfalfa,4yr,9/4/2019,22,210-240,ma4y_18,2064,200.5,GN
Marsden,alfalfa,4yr,9/4/2019,39,0-15,ma4y_19,809.5,200.8,GN
Marsden,alfalfa,4yr,9/4/2019,39,15-30,ma4y_20,807.1,201.9,GN
Marsden,alfalfa,4yr,9/4/2019,39,30-60,ma4y_21,1539.1,201.4,GN
Marsden,alfalfa,4yr,9/4/2019,39,60-90,ma4y_22,1790.3,200.9,GN
Marsden,alfalfa,4yr,9/4/2019,39,90-120,ma4y_23,2058.8,202.9,GN
Marsden,alfalfa,4yr,9/4/2019,39,120-150,ma4y_24,2178.9,203.6,GN
Marsden,alfalfa,4yr,9/4/2019,39,150-180,ma4y_25,2129.9,200.9,GN
Marsden,alfalfa,4yr,9/4/2019,39,180-210,ma4y_26,2322.1,201.7,GN
Marsden,alfalfa,4yr,9/4/2019,39,210-?,ma4y_27,2019.5,201.2,GN
